gen_file,gen_formula,best_cod,match_level,best_rmsd,best_rmsd_cod,lattice_diff_max_rel,angle_diff_max_deg,volume_diff_rel,gen_crystalsys,cod_crystalsys,candidates
struct_0001_relaxed.cif,Ca2TiSiO6,9001841 Ca2 O6 Si Ti.cif,unique,0.005307987772155026,9001841 Ca2 O6 Si Ti.cif,0.3994232721850988,30.066332041208263,2.8755982546730654,cubic,cubic,[]
struct_0002_relaxed.cif,Ca2TiSiO6,,unique,,,,,,triclinic,,[]
struct_0003_relaxed.cif,CaTi2Si2O,,unique,,,,,,tetragonal,,[]
struct_0004_relaxed.cif,Ca2TiSi2O7,,unique,,,,,,triclinic,,[]
struct_0005_relaxed.cif,CaTi(SiO4)2,,unique,,,,,,trigonal,,[]
struct_0006_relaxed.cif,Ca2Ti4Si3O2,,unique,,,,,,triclinic,,[]
struct_0007_relaxed.cif,CaTi(SiO3)2,,unique,,,,,,triclinic,,[]
struct_0008_relaxed.cif,Ca2Ti(SiO2)3,,unique,,,,,,triclinic,,[]
struct_0009_relaxed.cif,CaTiSiO,,unique,,,,,,trigonal,,[]
struct_0010_relaxed.cif,CaTiSiO,,unique,,,,,,trigonal,,[]
struct_0011_relaxed.cif,CaTi(SiO4)2,,unique,,,,,,triclinic,,[]
struct_0012_relaxed.cif,CaTiSiO,,unique,,,,,,trigonal,,[]
struct_0013_relaxed.cif,Ca2TiSi2O7,,unique,,,,,,triclinic,,[]
struct_0014_relaxed.cif,CaTi2Si2O,,unique,,,,,,tetragonal,,[]
struct_0015_relaxed.cif,Ca2TiSiO,,unique,,,,,,tetragonal,,[]
struct_0016_relaxed.cif,Ti2SiO6,,unique,,,,,,trigonal,,[]
struct_0017_relaxed.cif,CaTiSiO6,,unique,,,,,,trigonal,,[]
struct_0018_relaxed.cif,CaTi(SiO4)2,,unique,,,,,,triclinic,,[]
struct_0019_relaxed.cif,CaTiSiO,,unique,,,,,,orthorhombic,,[]
struct_0020_relaxed.cif,CaTiSiO,,unique,,,,,,trigonal,,[]
struct_0021_relaxed.cif,CaTiSiO,,unique,,,,,,trigonal,,[]
struct_0022_relaxed.cif,Ca2TiSiO6,9001841 Ca2 O6 Si Ti.cif,unique,0.005301927176469782,9001841 Ca2 O6 Si Ti.cif,0.4035891519319871,29.997367587607755,2.9041488975080862,cubic,cubic,[]
struct_0023_relaxed.cif,Ca3Ti3(SiO6)2,,unique,,,,,,monoclinic,,[]
struct_0024_relaxed.cif,CaTiSi2O5,,unique,,,,,,triclinic,,[]
struct_0025_relaxed.cif,CaTiSiO4,,unique,,,,,,triclinic,,[]
struct_0026_relaxed.cif,Ca2TiSiO6,9001841 Ca2 O6 Si Ti.cif,unique,0.005319788057397924,9001841 Ca2 O6 Si Ti.cif,0.400271708228721,30.003222165599944,2.880820065340584,cubic,cubic,[]
struct_0027_relaxed.cif,CaTiSiO,,unique,,,,,,tetragonal,,[]
struct_0028_relaxed.cif,Ca2TiSiO6,9001841 Ca2 O6 Si Ti.cif,unique,0.083642327983666,9001841 Ca2 O6 Si Ti.cif,0.40856446918492406,29.825847612779683,2.8998351850741817,tetragonal,cubic,[]
struct_0029_relaxed.cif,Ca2Ti2(SiO3)3,,unique,,,,,,triclinic,,[]
struct_0030_relaxed.cif,Ca2TiSiO6,9001841 Ca2 O6 Si Ti.cif,unique,0.0866329329259176,9001841 Ca2 O6 Si Ti.cif,0.4060934751403688,29.875038238775105,2.9169957395670805,triclinic,cubic,[]
struct_0031_relaxed.cif,CaTiSiO,,unique,,,,,,tetragonal,,[]
struct_0032_relaxed.cif,CaTi3(SiO5)2,,unique,,,,,,triclinic,,[]
struct_0033_relaxed.cif,Ca2Ti2SiO7,,unique,,,,,,triclinic,,[]
struct_0034_relaxed.cif,Ca2TiSiO6,9001841 Ca2 O6 Si Ti.cif,unique,0.005286401370899946,9001841 Ca2 O6 Si Ti.cif,0.3940958533988379,30.191479733814546,2.844275589449027,trigonal,cubic,[]
struct_0035_relaxed.cif,CaTi(SiO4)2,,unique,,,,,,trigonal,,[]
struct_0036_relaxed.cif,Ca3Ti(SiO4)2,,unique,,,,,,triclinic,,[]
struct_0037_relaxed.cif,Ca2Ti2Si3O10,,unique,,,,,,triclinic,,[]
struct_0038_relaxed.cif,Ca2Ti4(SiO)3,,unique,,,,,,monoclinic,,[]
struct_0039_relaxed.cif,Ti2SiO2,,unique,,,,,,tetragonal,,[]
struct_0040_relaxed.cif,CaTi(SiO3)2,,unique,,,,,,triclinic,,[]
struct_0041_relaxed.cif,CaTiSiO,,unique,,,,,,trigonal,,[]
struct_0042_relaxed.cif,CaTiSiO5,9005927 Ca O5 Si Ti.cif,unique,0.008376450337565167,9005927 Ca O5 Si Ti.cif,0.2866851399715285,15.81536062481372,0.9784330062156941,monoclinic,monoclinic,[]
struct_0043_relaxed.cif,CaTiSi3O7,,unique,,,,,,trigonal,,[]
struct_0044_relaxed.cif,CaTiSi2O7,,unique,,,,,,monoclinic,,[]
struct_0045_relaxed.cif,CaTiSiO5,,unique,0.5192526233007713,,,,,triclinic,,[]
struct_0046_relaxed.cif,CaTi2Si2O,,unique,,,,,,tetragonal,,[]
struct_0047_relaxed.cif,Ca3TiSi3O11,,unique,,,,,,triclinic,,[]
struct_0048_relaxed.cif,Ca2Ti2SiO10,,unique,,,,,,triclinic,,[]
struct_0049_relaxed.cif,Ca2TiSiO6,9001841 Ca2 O6 Si Ti.cif,unique,0.08385496319978013,9001841 Ca2 O6 Si Ti.cif,0.40952500951638876,29.978323269561344,2.9407154850898225,triclinic,cubic,[]
struct_0050_relaxed.cif,Ca2TiSiO6,9001841 Ca2 O6 Si Ti.cif,unique,0.08704208022771451,9001841 Ca2 O6 Si Ti.cif,0.4020410625208294,29.82112086958545,2.8792289248538583,triclinic,cubic,[]
struct_0051_relaxed.cif,CaTi2Si2O,,unique,,,,,,tetragonal,,[]
struct_0052_relaxed.cif,CaTiSiO4,,unique,,,,,,triclinic,,[]
struct_0053_relaxed.cif,Ca2TiSiO5,,unique,,,,,,monoclinic,,[]
struct_0054_relaxed.cif,CaSiO3,,unique,,,,,,cubic,,[]
struct_0055_relaxed.cif,CaTiSiO,,unique,,,,,,trigonal,,[]
struct_0056_relaxed.cif,CaTi(SiO4)2,,unique,,,,,,trigonal,,[]
struct_0057_relaxed.cif,CaSiO2,,unique,,,,,,triclinic,,[]
struct_0058_relaxed.cif,CaTi2Si2O7,,unique,,,,,,triclinic,,[]
struct_0059_relaxed.cif,CaTi2SiO8,,unique,,,,,,orthorhombic,,[]
struct_0060_relaxed.cif,Ca3Ti2Si2O11,,unique,,,,,,triclinic,,[]
struct_0061_relaxed.cif,CaTi2Si2O9,,unique,,,,,,monoclinic,,[]
struct_0062_relaxed.cif,Ca3Ti2SiO10,,unique,,,,,,triclinic,,[]
struct_0063_relaxed.cif,CaSiO2,,unique,,,,,,triclinic,,[]
struct_0064_relaxed.cif,CaTi(SiO4)2,,unique,,,,,,triclinic,,[]
struct_0065_relaxed.cif,CaTiSiO5,9002437 Ca O5 Si Ti.cif,unique,0.4455075633146759,9002437 Ca O5 Si Ti.cif,0.3211352464221871,15.698754154230727,0.8243136406578501,triclinic,monoclinic,[]
struct_0066_relaxed.cif,CaTiSiO,,unique,,,,,,monoclinic,,[]
struct_0067_relaxed.cif,CaTi(SiO4)2,,unique,,,,,,trigonal,,[]
struct_0068_relaxed.cif,Ca2TiSiO,,unique,,,,,,tetragonal,,[]
struct_0069_relaxed.cif,CaTi2SiO6,,unique,,,,,,triclinic,,[]
struct_0070_relaxed.cif,Ti2SiO,,unique,,,,,,tetragonal,,[]
struct_0071_relaxed.cif,Ca5Ti(SiO5)2,,unique,,,,,,triclinic,,[]
struct_0072_relaxed.cif,CaSiO2,,unique,,,,,,triclinic,,[]
struct_0073_relaxed.cif,Ca2TiSiO6,,unique,0.6065778900950323,,,,,triclinic,,[]
struct_0074_relaxed.cif,CaTi3(SiO)2,,unique,,,,,,tetragonal,,[]
struct_0075_relaxed.cif,CaTiSiO5,,unique,,,,,,triclinic,,[]
struct_0076_relaxed.cif,Ca3Ti(SiO4)2,,unique,,,,,,monoclinic,,[]
struct_0077_relaxed.cif,CaTi(SiO4)2,,unique,,,,,,triclinic,,[]
struct_0078_relaxed.cif,CaTiSiO,,unique,,,,,,trigonal,,[]
struct_0079_relaxed.cif,Ca2Ti2Si2O9,,unique,,,,,,monoclinic,,[]
struct_0080_relaxed.cif,CaTi(SiO4)2,,unique,,,,,,monoclinic,,[]
struct_0081_relaxed.cif,CaTiSiO5,9005927 Ca O5 Si Ti.cif,unique,0.010518978639623994,9005927 Ca O5 Si Ti.cif,0.2852749170558151,15.835883834497665,0.9693563961257693,monoclinic,monoclinic,[]
struct_0082_relaxed.cif,Ca4Ti5(SiO)3,,unique,,,,,,triclinic,,[]
struct_0083_relaxed.cif,Ca2TiSi4O11,,unique,,,,,,triclinic,,[]
struct_0084_relaxed.cif,CaTiSiO5,9005927 Ca O5 Si Ti.cif,unique,0.012369301008566263,9005927 Ca O5 Si Ti.cif,0.2842241012772639,15.703589842322799,0.9598359327237032,monoclinic,monoclinic,[]
struct_0085_relaxed.cif,CaTi(SiO2)2,,unique,,,,,,monoclinic,,[]
struct_0086_relaxed.cif,CaTiSiO,,unique,,,,,,trigonal,,[]
struct_0087_relaxed.cif,CaTi(SiO4)2,,unique,,,,,,triclinic,,[]
struct_0088_relaxed.cif,CaTiSiO5,9005927 Ca O5 Si Ti.cif,unique,0.011855026301487126,9005927 Ca O5 Si Ti.cif,0.28545136342465466,15.80054458815448,0.9657565045065161,monoclinic,monoclinic,[]
struct_0089_relaxed.cif,Ca4Ti(SiO4)3,,unique,,,,,,triclinic,,[]
struct_0090_relaxed.cif,Ca2TiSiO6,9001841 Ca2 O6 Si Ti.cif,unique,0.08536697924538511,9001841 Ca2 O6 Si Ti.cif,0.4013788978651962,29.890744112108678,2.8798372921804685,trigonal,cubic,[]
struct_0091_relaxed.cif,CaTi2Si2O,,unique,,,,,,tetragonal,,[]
struct_0092_relaxed.cif,CaSiO2,,unique,,,,,,triclinic,,[]
struct_0093_relaxed.cif,CaTiSi2O7,,unique,,,,,,monoclinic,,[]
struct_0094_relaxed.cif,CaTi2(SiO4)3,,unique,,,,,,triclinic,,[]
struct_0095_relaxed.cif,Ca2Ti3(SiO)2,,unique,,,,,,orthorhombic,,[]
struct_0096_relaxed.cif,Ca2TiSiO4,,unique,,,,,,triclinic,,[]
struct_0097_relaxed.cif,CaTiSiO6,,unique,,,,,,trigonal,,[]
struct_0098_relaxed.cif,Ca2Si2O,,unique,,,,,,tetragonal,,[]
struct_0099_relaxed.cif,CaTiSiO6,,unique,,,,,,monoclinic,,[]
struct_0100_relaxed.cif,CaTi3(SiO)2,,unique,,,,,,tetragonal,,[]
struct_0101_relaxed.cif,CaTiSiO5,9005927 Ca O5 Si Ti.cif,unique,0.009195088154982168,9005927 Ca O5 Si Ti.cif,0.28587716091446175,15.786681680006438,0.9697015172997134,monoclinic,monoclinic,[]
struct_0102_relaxed.cif,CaSiO2,,unique,,,,,,monoclinic,,[]
struct_0103_relaxed.cif,Ca3Ti2Si2O,,unique,,,,,,tetragonal,,[]
struct_0104_relaxed.cif,TiSi2O,,unique,,,,,,triclinic,,[]
struct_0105_relaxed.cif,CaTiSi,,unique,,,,,,tetragonal,,[]
struct_0106_relaxed.cif,CaTi(SiO3)2,,unique,,,,,,triclinic,,[]
struct_0107_relaxed.cif,Ca2TiSi2O7,,unique,,,,,,monoclinic,,[]
struct_0108_relaxed.cif,CaTiSiO,,unique,,,,,,trigonal,,[]
struct_0109_relaxed.cif,CaTi3SiO7,,unique,,,,,,triclinic,,[]
struct_0110_relaxed.cif,CaTi2SiO8,,unique,,,,,,monoclinic,,[]
struct_0111_relaxed.cif,CaTiO2,,unique,,,,,,orthorhombic,,[]
struct_0112_relaxed.cif,Ca4Ti(SiO4)3,,unique,,,,,,triclinic,,[]
struct_0113_relaxed.cif,Ca3Ti(SiO3)4,,unique,,,,,,triclinic,,[]
struct_0114_relaxed.cif,CaSiO2,,unique,,,,,,monoclinic,,[]
struct_0115_relaxed.cif,CaTi2Si2O7,,unique,,,,,,monoclinic,,[]
struct_0116_relaxed.cif,CaTi(SiO4)2,,unique,,,,,,triclinic,,[]
struct_0117_relaxed.cif,CaTi2(SiO)2,,unique,,,,,,tetragonal,,[]
struct_0118_relaxed.cif,Ca2TiSiO5,,unique,,,,,,triclinic,,[]
struct_0119_relaxed.cif,Ca2TiSi4O13,,unique,,,,,,triclinic,,[]
struct_0120_relaxed.cif,Ca2Ti2Si3O,,unique,,,,,,triclinic,,[]
struct_0121_relaxed.cif,Ca2TiSi2O7,,unique,,,,,,triclinic,,[]
struct_0122_relaxed.cif,CaTiSiO,,unique,,,,,,tetragonal,,[]
struct_0123_relaxed.cif,CaSi2O,,unique,,,,,,trigonal,,[]
struct_0124_relaxed.cif,CaTi2Si2O9,,unique,,,,,,triclinic,,[]
struct_0125_relaxed.cif,CaTi(SiO3)2,,unique,,,,,,triclinic,,[]
struct_0126_relaxed.cif,TiO,,unique,,,,,,triclinic,,[]
struct_0127_relaxed.cif,Ca2TiSiO6,,unique,,,,,,triclinic,,[]
struct_0128_relaxed.cif,Ca2Ti2Si3O7,,unique,,,,,,triclinic,,[]
struct_0129_relaxed.cif,CaSiO2,,unique,,,,,,trigonal,,[]
struct_0130_relaxed.cif,Ca2Ti2SiO,,unique,,,,,,tetragonal,,[]
struct_0131_relaxed.cif,CaTi3SiO7,,unique,,,,,,triclinic,,[]
struct_0132_relaxed.cif,CaTi(SiO3)2,,unique,,,,,,triclinic,,[]
struct_0133_relaxed.cif,CaTiSiO5,9005927 Ca O5 Si Ti.cif,unique,0.011436095840515317,9005927 Ca O5 Si Ti.cif,0.2841006857141827,15.756231141712007,0.9658274233032857,monoclinic,monoclinic,[]
struct_0134_relaxed.cif,CaTi(SiO3)2,,unique,,,,,,trigonal,,[]
struct_0135_relaxed.cif,CaSi2O,,unique,,,,,,trigonal,,[]
struct_0136_relaxed.cif,Ca2TiSiO2,,unique,,,,,,trigonal,,[]
struct_0137_relaxed.cif,CaTiSiO,,unique,,,,,,orthorhombic,,[]
struct_0138_relaxed.cif,CaTiSiO,,unique,,,,,,orthorhombic,,[]
struct_0139_relaxed.cif,CaTiSiO,,unique,,,,,,triclinic,,[]
struct_0140_relaxed.cif,Ca2TiSiO,,unique,,,,,,orthorhombic,,[]
struct_0141_relaxed.cif,CaSiO2,,unique,,,,,,triclinic,,[]
struct_0142_relaxed.cif,CaTiSiO,,unique,,,,,,trigonal,,[]
struct_0143_relaxed.cif,CaTi(SiO4)2,,unique,,,,,,triclinic,,[]
struct_0144_relaxed.cif,CaTi(SiO3)2,,unique,,,,,,triclinic,,[]
struct_0145_relaxed.cif,Ca3Ti(SiO3)4,,unique,,,,,,triclinic,,[]
struct_0146_relaxed.cif,CaTi2Si2O,,unique,,,,,,tetragonal,,[]
struct_0147_relaxed.cif,CaSi2O5,,unique,,,,,,triclinic,,[]
struct_0148_relaxed.cif,CaSiO2,,unique,,,,,,monoclinic,,[]
struct_0149_relaxed.cif,CaTi2Si2O,,unique,,,,,,tetragonal,,[]
struct_0150_relaxed.cif,Ca2TiSi4O11,,unique,,,,,,triclinic,,[]
struct_0151_relaxed.cif,CaTi2Si3O4,,unique,,,,,,triclinic,,[]
struct_0152_relaxed.cif,Ca3Ti2Si2O11,,unique,,,,,,triclinic,,[]
struct_0153_relaxed.cif,CaSi2O,,unique,,,,,,monoclinic,,[]
struct_0154_relaxed.cif,Ca4TiSi2O7,,unique,,,,,,triclinic,,[]
struct_0155_relaxed.cif,Ca2Ti2SiO3,,unique,,,,,,trigonal,,[]
struct_0156_relaxed.cif,CaTiSi,,unique,,,,,,cubic,,[]
struct_0157_relaxed.cif,Ca(SiO)2,,unique,,,,,,orthorhombic,,[]
struct_0158_relaxed.cif,CaTiSiO,,unique,,,,,,orthorhombic,,[]
struct_0159_relaxed.cif,Ca2Ti2Si3O8,,unique,,,,,,triclinic,,[]
struct_0160_relaxed.cif,Ca2TiSiO6,,unique,0.5457367733371753,,,,,triclinic,,[]
struct_0161_relaxed.cif,Ca2TiSi2O9,,unique,,,,,,triclinic,,[]
struct_0162_relaxed.cif,CaTiSi2O7,,unique,,,,,,triclinic,,[]
struct_0163_relaxed.cif,Ca2Ti2Si2O,,unique,,,,,,tetragonal,,[]
struct_0164_relaxed.cif,CaTiSi,,unique,,,,,,trigonal,,[]
struct_0165_relaxed.cif,CaSiO3,,unique,,,,,,monoclinic,,[]
struct_0166_relaxed.cif,CaTiSiO,,unique,,,,,,trigonal,,[]
struct_0167_relaxed.cif,CaTi2SiO6,,unique,,,,,,triclinic,,[]
struct_0168_relaxed.cif,CaTi(SiO4)2,,unique,,,,,,triclinic,,[]
struct_0169_relaxed.cif,CaTiSiO5,,unique,,,,,,triclinic,,[]
struct_0170_relaxed.cif,Ca2TiSi2O9,,unique,,,,,,triclinic,,[]
struct_0171_relaxed.cif,CaTiSiO4,,unique,,,,,,triclinic,,[]
struct_0172_relaxed.cif,TiSi2O5,,unique,,,,,,triclinic,,[]
struct_0173_relaxed.cif,Ca2Ti3Si2O11,,unique,,,,,,triclinic,,[]
struct_0174_relaxed.cif,CaTi2(SiO)2,,unique,,,,,,tetragonal,,[]
struct_0175_relaxed.cif,Ca2Ti2Si2O,,unique,,,,,,monoclinic,,[]
struct_0176_relaxed.cif,CaSi2O,,unique,,,,,,trigonal,,[]
struct_0177_relaxed.cif,CaSi2O,,unique,,,,,,monoclinic,,[]
struct_0178_relaxed.cif,CaTiSiO,,unique,,,,,,orthorhombic,,[]
struct_0179_relaxed.cif,Ca2TiSiO6,9001841 Ca2 O6 Si Ti.cif,unique,0.0852508024552556,9001841 Ca2 O6 Si Ti.cif,0.40971217007238997,29.891951526308702,2.9152588460918447,tetragonal,cubic,[]
struct_0180_relaxed.cif,Ca2Ti2SiO3,,unique,,,,,,orthorhombic,,[]
struct_0181_relaxed.cif,Ca2TiSiO6,9001841 Ca2 O6 Si Ti.cif,unique,0.08653870019089487,9001841 Ca2 O6 Si Ti.cif,0.40605339610626284,29.994060566212084,2.92473482912636,triclinic,cubic,[]
struct_0182_relaxed.cif,CaTi(SiO4)2,,unique,,,,,,triclinic,,[]
struct_0183_relaxed.cif,CaTiSiO5,9005927 Ca O5 Si Ti.cif,unique,0.008173644084586902,9005927 Ca O5 Si Ti.cif,0.2856151096573101,15.815562938211869,0.9743148698848644,monoclinic,monoclinic,[]
struct_0184_relaxed.cif,CaTi(SiO4)2,,unique,,,,,,triclinic,,[]
struct_0185_relaxed.cif,CaSi2O,,unique,,,,,,monoclinic,,[]
struct_0186_relaxed.cif,CaSiO,,unique,,,,,,monoclinic,,[]
struct_0187_relaxed.cif,Ca2TiSiO6,,unique,,,,,,tetragonal,,[]
struct_0188_relaxed.cif,CaSiO,,unique,,,,,,triclinic,,[]
struct_0189_relaxed.cif,CaTi2(SiO)3,,unique,,,,,,monoclinic,,[]
struct_0190_relaxed.cif,CaSiO,,unique,,,,,,monoclinic,,[]
struct_0191_relaxed.cif,Ca2Ti2Si2O,,unique,,,,,,tetragonal,,[]
struct_0192_relaxed.cif,CaTi2(SiO3)3,,unique,,,,,,triclinic,,[]
struct_0193_relaxed.cif,CaTi(SiO4)2,,unique,,,,,,monoclinic,,[]
struct_0194_relaxed.cif,CaTiSiO,,unique,,,,,,monoclinic,,[]
struct_0195_relaxed.cif,Ca2Ti2SiO2,,unique,,,,,,triclinic,,[]
struct_0196_relaxed.cif,CaTi2Si4O3,,unique,,,,,,monoclinic,,[]
struct_0197_relaxed.cif,CaTi2SiO2,,unique,,,,,,triclinic,,[]
struct_0198_relaxed.cif,CaTi(SiO3)2,,unique,,,,,,triclinic,,[]
struct_0199_relaxed.cif,Ca2TiSi2O9,,unique,,,,,,triclinic,,[]
struct_0200_relaxed.cif,CaTiSiO6,,unique,,,,,,trigonal,,[]
struct_0201_relaxed.cif,CaTi(SiO4)2,,unique,,,,,,triclinic,,[]
struct_0202_relaxed.cif,Ca2TiSi3O10,,unique,,,,,,triclinic,,[]
struct_0203_relaxed.cif,CaTi(SiO4)2,,unique,,,,,,monoclinic,,[]
struct_0204_relaxed.cif,CaTiSiO,,unique,,,,,,hexagonal,,[]
struct_0205_relaxed.cif,CaTi(SiO4)2,,unique,,,,,,triclinic,,[]
struct_0206_relaxed.cif,CaTiSi2O7,,unique,,,,,,monoclinic,,[]
struct_0207_relaxed.cif,CaTi2Si2O7,,unique,,,,,,monoclinic,,[]
struct_0208_relaxed.cif,CaTiSiO,,unique,,,,,,trigonal,,[]
struct_0209_relaxed.cif,Ca2TiSiO6,9001841 Ca2 O6 Si Ti.cif,unique,0.08400253586481025,9001841 Ca2 O6 Si Ti.cif,0.4066364710350946,29.79824300849765,2.885275973339989,tetragonal,cubic,[]
struct_0210_relaxed.cif,Ca2TiSiO4,,unique,,,,,,triclinic,,[]
struct_0211_relaxed.cif,CaTiSiO,,unique,,,,,,orthorhombic,,[]
struct_0212_relaxed.cif,CaTi(SiO3)2,,unique,,,,,,triclinic,,[]
struct_0213_relaxed.cif,CaTiSiO,,unique,,,,,,orthorhombic,,[]
struct_0214_relaxed.cif,CaTi(SiO4)2,,unique,,,,,,triclinic,,[]
struct_0215_relaxed.cif,Ca2TiSiO8,,unique,,,,,,monoclinic,,[]
