file,energy_eV,energy_per_atom_eV,natoms,formula
struct_0001.cif,-76.97443,-7.6974425,10,Ca2O6SiTi
struct_0002.cif,-155.16823,-7.7584114,20,Ca4O12Si2Ti2
struct_0003.cif,-40.979244,-6.829874,6,CaOSi2Ti2
struct_0004.cif,-89.76395,-7.480329,12,Ca2O7Si2Ti
struct_0005.cif,-89.92041,-7.4933677,12,CaO8Si2Ti
struct_0006.cif,-73.74226,-6.703842,11,Ca2O2Si3Ti4
struct_0007.cif,-151.6548,-7.58274,20,Ca2O12Si4Ti2
struct_0008.cif,-85.16127,-7.0967727,12,Ca2O6Si3Ti
struct_0009.cif,-25.80853,-6.4521327,4,CaOSiTi
struct_0010.cif,-25.437866,-6.3594666,4,CaOSiTi
struct_0011.cif,-88.52846,-7.3773713,12,CaO8Si2Ti
struct_0012.cif,-25.442875,-6.3607187,4,CaOSiTi
struct_0013.cif,-89.662025,-7.4718356,12,Ca2O7Si2Ti
struct_0014.cif,-40.97739,-6.829565,6,CaOSi2Ti2
struct_0015.cif,-28.368382,-5.6736765,5,Ca2OSiTi
struct_0016.cif,-75.90794,-8.434216,9,O6SiTi2
struct_0017.cif,-66.81897,-7.4243298,9,CaO6SiTi
struct_0018.cif,-88.52612,-7.377177,12,CaO8Si2Ti
struct_0019.cif,-25.689817,-6.4224544,4,CaOSiTi
struct_0020.cif,-25.828823,-6.457206,4,CaOSiTi
struct_0021.cif,-25.45009,-6.3625226,4,CaOSiTi
struct_0022.cif,-76.97423,-7.697423,10,Ca2O6SiTi
struct_0023.cif,-158.61351,-7.9306755,20,Ca3O12Si2Ti3
struct_0024.cif,-67.04609,-7.4495654,9,CaO5Si2Ti
struct_0025.cif,-52.648026,-7.5211463,7,CaO4SiTi
struct_0026.cif,-76.97517,-7.6975164,10,Ca2O6SiTi
struct_0027.cif,-48.233463,-6.029183,8,Ca2O2Si2Ti2
struct_0028.cif,-77.07552,-7.7075524,10,Ca2O6SiTi
struct_0029.cif,-118.9665,-7.435406,16,Ca2O9Si3Ti2
struct_0030.cif,-77.08359,-7.708359,10,Ca2O6SiTi
struct_0031.cif,-50.756348,-6.3445435,8,Ca2O2Si2Ti2
struct_0032.cif,-131.16853,-8.198033,16,CaO10Si2Ti3
struct_0033.cif,-92.16828,-7.6806903,12,Ca2O7SiTi2
struct_0034.cif,-76.96617,-7.696617,10,Ca2O6SiTi
struct_0035.cif,-89.916916,-7.4930763,12,CaO8Si2Ti
struct_0036.cif,-102.434204,-7.316729,14,Ca3O8Si2Ti
struct_0037.cif,-130.69867,-7.688157,17,Ca2O10Si3Ti2
struct_0038.cif,-79.34519,-6.612099,12,Ca2O3Si3Ti4
struct_0039.cif,-40.15862,-8.031724,5,O2SiTi2
struct_0040.cif,-76.6632,-7.66632,10,CaO6Si2Ti
struct_0041.cif,-25.446888,-6.361722,4,CaOSiTi
struct_0042.cif,-128.81381,-8.050863,16,Ca2O10Si2Ti2
struct_0043.cif,-89.93078,-7.4942317,12,CaO7Si3Ti
struct_0044.cif,-87.776405,-7.9796734,11,CaO7Si2Ti
struct_0045.cif,-62.92634,-7.8657923,8,CaO5SiTi
struct_0046.cif,-40.981205,-6.8302007,6,CaOSi2Ti2
struct_0047.cif,-137.34128,-7.630071,18,Ca3O11Si3Ti
struct_0048.cif,-110.540855,-7.3693905,15,Ca2O10SiTi2
struct_0049.cif,-77.06122,-7.706122,10,Ca2O6SiTi
struct_0050.cif,-77.07972,-7.707972,10,Ca2O6SiTi
struct_0051.cif,-40.97531,-6.8292184,6,CaOSi2Ti2
struct_0052.cif,-106.800865,-7.628633,14,Ca2O8Si2Ti2
struct_0053.cif,-65.25835,-7.2509274,9,Ca2O5SiTi
struct_0054.cif,-36.222805,-7.244561,5,CaO3Si
struct_0055.cif,-25.321644,-6.330411,4,CaOSiTi
struct_0056.cif,-89.89922,-7.491602,12,CaO8Si2Ti
struct_0057.cif,-25.530064,-6.382516,4,CaO2Si
struct_0058.cif,-92.24664,-7.68722,12,CaO7Si2Ti2
struct_0059.cif,-92.38396,-7.698663,12,CaO8SiTi2
struct_0060.cif,-139.84196,-7.768998,18,Ca3O11Si2Ti2
struct_0061.cif,-113.51128,-8.107948,14,CaO9Si2Ti2
struct_0062.cif,-119.93838,-7.4961486,16,Ca3O10SiTi2
struct_0063.cif,-25.23885,-6.3097124,4,CaO2Si
struct_0064.cif,-88.51635,-7.3763623,12,CaO8Si2Ti
struct_0065.cif,-126.943375,-7.933961,16,Ca2O10Si2Ti2
struct_0066.cif,-25.431313,-6.357828,4,CaOSiTi
struct_0067.cif,-89.88673,-7.4905605,12,CaO8Si2Ti
struct_0068.cif,-28.36627,-5.673254,5,Ca2OSiTi
struct_0069.cif,-79.89158,-7.9891577,10,CaO6SiTi2
struct_0070.cif,-61.4507,-7.6813374,8,O2Si2Ti4
struct_0071.cif,-128.24728,-7.1248493,18,Ca5O10Si2Ti
struct_0072.cif,-25.534258,-6.3835645,4,CaO2Si
struct_0073.cif,-76.13861,-7.613861,10,Ca2O6SiTi
struct_0074.cif,-56.598663,-7.074833,8,CaO2Si2Ti3
struct_0075.cif,-127.01547,-7.938467,16,Ca2O10Si2Ti2
struct_0076.cif,-104.05595,-7.4325676,14,Ca3O8Si2Ti
struct_0077.cif,-88.53164,-7.3776364,12,CaO8Si2Ti
struct_0078.cif,-25.44239,-6.3605976,4,CaOSiTi
struct_0079.cif,-115.31411,-7.6876073,15,Ca2O9Si2Ti2
struct_0080.cif,-88.86403,-7.405336,12,CaO8Si2Ti
struct_0081.cif,-128.82278,-8.051424,16,Ca2O10Si2Ti2
struct_0082.cif,-96.34751,-6.423167,15,Ca4O3Si3Ti5
struct_0083.cif,-135.22423,-7.512457,18,Ca2O11Si4Ti
struct_0084.cif,-128.82465,-8.05154,16,Ca2O10Si2Ti2
struct_0085.cif,-58.293186,-7.2866483,8,CaO4Si2Ti
struct_0086.cif,-25.445168,-6.361292,4,CaOSiTi
struct_0087.cif,-90.36937,-7.530781,12,CaO8Si2Ti
struct_0088.cif,-128.82361,-8.051476,16,Ca2O10Si2Ti2
struct_0089.cif,-150.65552,-7.532776,20,Ca4O12Si3Ti
struct_0090.cif,-77.07966,-7.707966,10,Ca2O6SiTi
struct_0091.cif,-40.96896,-6.82816,6,CaOSi2Ti2
