file,energy_before_eV,energy_after_eV,delta_energy_eV,energy_per_atom_eV,natoms,formula,relaxed_file
struct_0001.cif,-76.97443,-76.97471,-0.0002822876,-7.6974707,10,Ca2O6SiTi,struct_0001_relaxed.cif
struct_0002.cif,-155.16823,-155.22113,-0.05290222,-7.7610564,20,Ca4O12Si2Ti2,struct_0002_relaxed.cif
struct_0003.cif,-40.979244,-40.98183,-0.0025863647,-6.830305,6,CaOSi2Ti2,struct_0003_relaxed.cif
struct_0004.cif,-89.76394,-90.015366,-0.2514267,-7.5012803,12,Ca2O7Si2Ti,struct_0004_relaxed.cif
struct_0005.cif,-89.92041,-89.97842,-0.058006287,-7.4982014,12,CaO8Si2Ti,struct_0005_relaxed.cif
struct_0006.cif,-73.74226,-74.05112,-0.30885315,-6.73192,11,Ca2O2Si3Ti4,struct_0006_relaxed.cif
struct_0007.cif,-151.65479,-152.22037,-0.5655823,-7.611018,20,Ca2O12Si4Ti2,struct_0007_relaxed.cif
struct_0008.cif,-85.161255,-85.27734,-0.11608887,-7.1064453,12,Ca2O6Si3Ti,struct_0008_relaxed.cif
struct_0009.cif,-25.80853,-25.834793,-0.026262283,-6.4586983,4,CaOSiTi,struct_0009_relaxed.cif
struct_0010.cif,-25.437866,-25.470547,-0.03268051,-6.3676367,4,CaOSiTi,struct_0010_relaxed.cif
struct_0011.cif,-88.52846,-88.93609,-0.40763092,-7.4113407,12,CaO8Si2Ti,struct_0011_relaxed.cif
struct_0012.cif,-25.442877,-25.464806,-0.021928787,-6.3662014,4,CaOSiTi,struct_0012_relaxed.cif
struct_0013.cif,-89.662025,-89.84822,-0.18619537,-7.487352,12,Ca2O7Si2Ti,struct_0013_relaxed.cif
struct_0014.cif,-40.977386,-40.98121,-0.0038223267,-6.8302016,6,CaOSi2Ti2,struct_0014_relaxed.cif
struct_0015.cif,-28.368382,-28.368382,0.0,-5.6736765,5,Ca2OSiTi,struct_0015_relaxed.cif
struct_0016.cif,-75.90794,-75.9125,-0.0045547485,-8.434722,9,O6SiTi2,struct_0016_relaxed.cif
struct_0017.cif,-66.81897,-66.82464,-0.00566864,-7.4249597,9,CaO6SiTi,struct_0017_relaxed.cif
struct_0018.cif,-88.52612,-88.93183,-0.4057083,-7.410986,12,CaO8Si2Ti,struct_0018_relaxed.cif
struct_0019.cif,-25.689817,-25.690025,-0.000207901,-6.4225063,4,CaOSiTi,struct_0019_relaxed.cif
struct_0020.cif,-25.828823,-25.841928,-0.013105392,-6.460482,4,CaOSiTi,struct_0020_relaxed.cif
